docID,words
0,"Hiker, demon, creepy, scary, tunnel, stalk"
1,"Batman, batman beyond, who are you, narrows it down, animated, show, officer"
2,"Up, carl, russell, honor, award, scout badge, old man, kids, movie, record"
3,"Tom, jerry, sword, stab, dont care, cartoon, show"
4,"Wholesome, comic, dialogue bubble, dog, sleeping with owner"
5,"Doug dimmadome, chef hat, long, fast food, restaurant, employee"
6,"Empty town, comparison, bustling city, contradictory"
7,"Lord of the rings, lotr, gandalf, pipip, sending, movie, height"
8,"Geralt, yennefer, pointing, blame, slapstick, video game, player"
9,"Goofy, college, max ,shock, surprise, reveal, announce, reaction, cartoon"
10,"Gordon Ramsay, pepto bismol, patrick, feeding, crossover, cartoon, show, chef"
11,"Groot, gunpoint, force, surreal, movie, despicable me"
12,"Having enough, jump, slapstick, fall"
13,"Cat, possessed"
14,"Hotdog, dog, many options"
15,"Jedi, master, lightsaber, block, unexpected, movie, star wars"
16,"Joker, you think this is funny, laugh, reaction, movie"
17,"Dark, kids, swing, police, dead body"
18,"Kylo ren, lightsaber, fight, jesus, comparison, movie, starwars"
19,"Lord of the rings, lotr, cast it into fire, destroy it, movie"
20,"Master of forbidden knowledge, anime, contradict god's teaching"
21,"Mike wazowski, face swap, monster inc, stone face, reaction, movie"
22,"Mr. Moseby, sweet life of zach and cody, stereotype play, 4 step, show"
23,"Ninja turtle, growing, old , support, classic, cartoon, show"
24,"Perry, ferb, Phineas, looking at both, at the same time, show, cartoon"
25,"Proud, mabel, mark soos, scaring, slapstick"
26,"Serious guy, ride, unexpected"
27,"Meet the pyro, comparison, contradictory, videogame, team fortress 2"
28,"Stupid intelligence, brain, what is this answer"
29,"Terminator, carrying, mr.bean, on sofa, holding broom"
30,"The crusade knows no bounds, underwater, diver, sword"
31,"Titans, sea, battle"
32,"Toy, biting, cat"
33,"Two guys, split, slide, combine"
34,"Undertaker, randy Orton, surprised, reaction, wwe"
35,"Uno, draw 25, option, classic"
36,"Muscle arm, hand shake, alone"
37,"Wolverine, cartoon, show third wheel, left out, reaction"
38,"Bear, no change, same, fool, cardboard cutout"
39,"Keanu Reeves, big, small, bench, sad, wholesome"
40,"Black bear, white bear, panda, combine, fusion, dragonballZ"
41,"Prefer water, dislike drink, girl"
42,"Incredibles, frozone, police, i said freeze, excuse, movie, animated"
43,"Peter Parker, spider man, joker, callmecarson, dancing, crying, crossover"
44,"Putin, political, reaction, surprised"
45,"SpongeBob, tear, paper truth"
46,"Charlie, phone, reaction, crying"
47,"Fallout, puncher, bigger, regret, cartoon"
48,"Vacuum, can't fit, wall, surreal"
49,"Girl, sign, creative, empty"
50,"Harry Osborn, peter parker, spider man, movie, hidden, voeyer"
51,"Jesus, blessing, woman, better"
52,"Women Smiling, kick, surprised, slapstick"
53,"video game, football, harry kane, umpire, sport"
